Comments,HateSpeech
"মহান রব সবাইকে হেফাজত করুক, আল্লাহ যেন বাচ্চাটাকে সুস্থতা দান করুক",0
ভালো হয়েছে এখনো ঘুমাই নাই তাইলে বিনোদন গুলো মিস করতাম ,0
গান্জা দিনে কয়বার খান?,0
তাকে আলীপোর চিড়িয়াখানার খাঁচায় রাখুন টিআরপির চেয়েও বেশী লাভ হবে,0
কেউ যদি আমাকে হারানোর ভয় পেতো! তাকে আমার সবটা দিয়ে আগলে রাখবো! ইনশাআল্লাহ ,0
আমি এক নাটকের সংলাপে নায়ক যার প্রধান অভিনয়টাই দুখের বিলাসিতা,0
গানের চয়েজ গুলো সুন্দর আছে ,0
"মন টা চাই একটা রড রে গরম কইর ঠান্ডা অংশ পোষ্ট কারীর পিছন দিয়া ডুকাই দি আর গরম অংশ বাহিরে দিয়া রাখি, যাতে হাত পোড়ার ভয়ে রড টাই বের করতে না পারে ",1
"এ জন্য গযব নাযিল হচ্ছে, নর্তকী হওয়ার জন্য ইন্সপাইয়ার করছে। স্টুপিড।",1
নষ্ট মেয়ে,1
আগেরজন আছিল রাজরানী! কিন্তু এইডা দেহি চুতমারানি,1
এরকম আনন্দ শুধু এরকম বাচ্চার মায়েরা ছাড়া অন্য কেউ বুঝবে না।,0
"তাই তো করলেন,",0
বরফ দেখাও না অন্য কিছু। তোমার স্বামী কি হিজড়া।,0
ঘৃণা জানানোর ভাষা নেই। এরা দেশ চালাতে চায়,0
কুত্তা বাহিনী,1
কি আর বলব মেয়েরাই তো মেয়েদের শত্রু ,1
"নিজের দেশের মানুষ সম্মান না দিলেও অন্য দেশের মানুষ ঠিক ই সম্মান দিতে জানে,,,!",0
তার ব্রেন নিঃসন্দেহে পুটকিতে।,1
বেষ্ট চুনা অফ দা ইয়ার ,0
বেয়াদব একটা মেয়ে,1
এইজন্যই আমার দাদায় বলতো চোদার উপরে কোন ঔষধ নাই,1
টাকলার মাথার মধ্যে কেউ হাগু দেয় না কেন,1
পাডার ঘরের পাডা,1
খাটের খেলা শেষ ,0
বিচিতে ঘুঘুর বেঁধে এমন পোদ মারবো পাড়ার লোক মনে করবে কীর্তন হচ্ছে।,1
সব সময় তিনি বিরোধীদের গালাগালি করতেন।,0
তোমাকে এক নজর দেখার জন্য মনটা সবসময় ছটফট করে আর যখন তোমার চোখ দুটো দেখি হয় সারাক্ষণ দেখেই যাই! ,0
সেই ব্যক্তি টি এসব বোঝে না ভাইয়া ,0
শিখা দৌলদিয়া ঘাটের ঐ পাড়ার সর্দারনির মেয়ের মত লাগে।,0
"যাদের লজ্জা নেই তাদের কোন কষ্ট নেই, শালা মূর্খ অধিনায়ক।",1
কিন্তু বর্তমান অন ফায়ার ,0
"হালার পুত,",1
ইস আস্তে কামড় দিতে বলছিলা,0
যদি কোন বালের মুভি হয়ে থাকে তাইলে এইটা একটা,1
এগুলো সব হুজুররাই পারে,0
সব পাগলের খেলা হায়রে,1
এতোদিন চুরি করে এখন ডাকাতি করার ধান্দা,1
বোকাচোদা কথা কোইলো নাকি বমি করলো ১:৫০ মিনিটে কিছুই বুঝলাম না ,0
ওমা এইনে আমগো পুতুল খালার মা হাচু নানি,0
যৌতুক লুবি পরিবার ও ছেলেকে আইনের আওতায় আনা হোক,1
মানুস নামের জানোয়ার একেই বলে,1
অনেক সুন্দর বাসর ঘর সাজানো হয়েছে ভালো লাগলো দেখে,0
তুমি কোন শহরের মাইয়া গো লাগে উড়াধূরা ,0
"বাটপারি ধরা পড়ে গেছে, তাই সে উধাও।",0
কি এক অসলিলতা সৃষ্টি হলো দুনিয়াতে।,1
তুমিও ত সেই চোখই দেখছ আবার আমাদের বলো,0
বুবলি এতো সুন্দর করে কপি করে ড্রেস পড়ছে. এরে কেউ নোবেল দে.,0
"ভালো কয়ছ গো বুইয়া, জাতের জাত মিলে,",0
হেডায় আন্দাজ পাসনা,1
তেমার লাগি রাখছে মাশিকের পেমপার তোমার নিচে লাগাইবার জন্য,0
যখন মনের অবস্থা কাউকে বলে বুঝানো যায় না তখনই সেই জমানো কষ্টটা লোনা জল হয়ে চোখ দিয়ে বেরিয়ে আসে।,0
ওখানে যে রস থাকে ,0
"কি সুন্দর নাটক আল্লাহ, এই মহিলাকে হেদায়েত দান করুক,",0
সবগুলা কনডম বিস্ফোরনে পয়দা,1
"একদম ঠিক, টেনে কখনো সম্পর্ক এগিয়ে নিয়ে যাওয়া যায় না",0
সুয়ের বাচা সিলেট সিনিচ,1
আল্লাহ জালিমের হাত থেকে রক্ষা করোন,0
তুই শালা টাকার লোভ না থাকলে তুই এই জায়গায় আসবি না বুঝেছিস বোকাচোদা ,1
খানকিদের নিউজ ছাড়া আর কোন টপিক নাই দেশে,1
এই জানোয়ারের বাচ্চা এটা কখন কার ভিডিও,1
বস্তির জারোজ লোকজনের জন্য রংধুনু আলা কোনো জিনিসই ছোড়া যাবেনা দেখছি,1
"বাটপার, বেটা ড্রাইভারের ছেলে হয়ে কেরামতি দেখাও কোটিপতির। দূর্নীতিবাজগুলো কোথাকার।",1
ভাই এদের জন্য নোবেল কোই পাওয়া যাবে বলতে পারেন ,0
ধন্যবাদ টাঙ্গাইল বাসিকে,0
আসমানী ভাবিই পারফেক্ট হইছে,0
খুনির দোসর,1
একটা কিক মেরে ভারতে পাঠানো উচিৎ,0
যে নারী বিয়ে আগে তার গায়ে পুরুষ এ স্পষ্ট করে তার জন্য ও জায়গায় জাহান্নাম,0
আচুদা প্রথমে কুত্তার মত চুদায়‍,1
"তাকিয়ে থাকতাম। কিন্তু ফাঁকি দিয়ে চলে গেছে মা,",0
আপু তুমি কি খেলতে,0
বিশ্ব সেরা নির্লজ্জ বেহায়া বেয়াদব কাপল,1
মেয়েটার জীবন টা নষ্ট আহারে ,0
বুড়ি নষ্ট হয়ে গেছে।,1
মাগির ফুয়া সিলেটিরে গালাগালি করচ কেনে।,1
চোরের বাচ্চা চোর,1
"খানকির পোলারা তোরা আমার ভাই বোন কে এবাবে মারিস না, তোগো খাবর আছে",1
কীভাবে এতো পাগল হয়ে গেলাম আপনার জন্য আপনার এতো এতো ভালো বাসা আমাকে পরিপূর্ণ করেছে। ,0
ওই নিচে লাগায় দে সাদা সাদা নিচ দিয়েও বাড়িতে আছে ওইটাতে লাগায় দে দেখবি ভালো লাগবে বাইনচোদ মহিলা,1
আরেক টোকাই,1
আহারে খাউজ্জায় চুলকায় মজা লাগে পোড়ায় যখন চুলকানি উঠে তখন ইচ্ছে করে দুইশ টাকা রোজের কামলা ভাড়া করে চুলকাই,0
ওদের চিনে রাখুন সময় আসলে জবাব দেয়া হবে,0
এই ফালতু সিরিয়াল বন্ধো করেন।,1
"হেডার গান গায়, কোন ফিল আসে না, উল্টা ভয় লাগে,",1
দালাল খানকির পোলা,1
এক নেংটা আর এক নেংটার বিচার করে ,1
ভালোবাসা সুন্দর যদি সেটা পূর্ণতা পায় ,0
এর পুটকি দিয়ে মুক্তি যোদ্ধা বরেন,1
মাস আল্লাহ খুবই সুন্দর লাগে আপনাদের,0
মজা পাইলেও কিছু করতে পারছিনা,0
তম্মা মাগীর হেডা,1
লুচ্চা মামুন লুচ্চা মামুন লুচ্চা মামুন,1
খুব তাড়াতাড়ি তোরা দুইজন ধ্বংস হয়ে যাবি নাজিম তানিশা,1
"কতটা নির্লজ্জ বেহায়া, কি তার এটিচিউড এবং শব্দ চয়ন। ঘেন্না লাগছে, ছিঃ ",1
আপনি তো সেরকম একজন। সমালোচনাকারী,0
একেবারে হাসিনার সঙ্গে মিলেমিশে পুতুপুতু এক একবার একেক কথা  মিথ্যাবাদি  মহিলা,1
কুকুর: আমি ওদের মতো বেইমান মাদারচোদ নই,1
নিচের জ্বালা উঠছে মনে হয় ,1
তোরা বাল ফেলতেছিস,0
শয়তানীর হাড্ডি ,1
কে বুঝবে? যে বুঝেছিল সেই তো কষ্ট দিল,0
এইটা আরেক মাগী,1
"এই কুত্তার বাচ্চা,লায়লা যদি তোর বউ বা আত্মীয় না হয় তাহলে তার বাসায় ৪ বছর কেন থাকছিলে? তুই এবং লায়লা দুটাই আবর্জনা, অসভ্য।",1
অর্ধনগ্ন অবস্থায় দৌড় টা কড়া আসিলো ,1
তোর হাসি শুনলে আমার মুতে ধরে ,1
একটা ফালতু অশিক্ষিত একটা ছেলে নিয়ে নিউজ করে,1
আসল বিষয়টা হলো নোংরা জিনিস পছন্দ করে ওরা ,0
পুলিশ না থাকলে তোমাদের কে কেও চুদেনা,1
ভুয়া সাইট,0
সবার আগে দুধ দেখি ,1
নানীর গোয়া তো খাল হয়ে গেছে,1
চাপাবাজ মহিলা।,1
চোরের পোলার নবাব গিরি,1
পরিমনির চুলকানি বাইরা গেছে,0
চুলকানি শুধু মুক্তিযোদ্ধা কোঠায়,0
"কুকুরের বাচ্চারা তাদের ঘরে মা বোন নাই, যে বানাইছে এটা কি তোর মা,",1
দিদিভাই তোমার সব ভিডিও আমি দেখি খুব ভালো লাগে মন খারাপ থাকলে মন ভালো হয়ে যায়,0
তোদের কে পুটকি মারছে দারাই দারাই কি দেখছ আটকালে কি হতো ,1
এই মহিলার কথা শুনলে আমার বমি আসে,1
দামরি মেয়ে লোক খেয়ে দেয়ে কোন কাজ পাস না কাজ না পেলে আমার বাসায় বাথরুম দেওয়ার কাজে লাগাই দিবানি,1
এতদিন চোরের মায়ের বড় গলা দেখতাম এখন চোরের ছেলের বড় গলা দেখতেছি ,1
"চিন্তা করা যায় গাড়ির ড্রাইভারের ছেলের এই অবস্থা কোন দেশে আছি আমরা, আমি দ্বিতীয় শ্রেণীর চাকরি করে দেনা শোধ করতে পারিনা ",0
সাংবাদিক এরা আর কোনো খবর পায় না ফালতু সব খবর,1
একেই বলে বস্তি এরকম কেউ করে রেস্টুরেন্টে গিয়ে,1
দেখলেই ঘৃণা লাগে।,1
বেজন্মা ,1
তানিসা পুরাই কটকটি,1
এই মহিলা নিজেই একটা নোংরা। যৌন ক্ষুধা তার বেশী।,1
সাপ ফণা ধরে আছে বিষ নামিয়ে দিবে?,0
চ্যাট করবেন না কি অন্য কিছু করবেন একটু খোলাসা করে বলেন ,0
আস্ত একটা সোদানির পোয়া,1
হালা চুরি কইরা দেশ তাকি বাগছে,1
ভিখারি মনে হয় ড্রেস এর অভাব আছে ,1
দুটোই বখাটে,1
অসভ্য নির্লজ্জ বেহাইয়া জাতি আমরা,1
তোমার কাছে এটা খুনসুটি মনে হয় আর হেতে বেচারার জান টা শেষ হয়ে যায় এটা সামাল দিতে দিতে,0
নাটক বাজ রাক্ষুসী ডাইনির ,1
"সরকারের কাছে জোর দাবি জানাচ্ছি, কমেন্ট পড়া লোকদের বেতনের ব্যবস্থা করা হোক! ধন্যবাদজ্ঞাপন",0
শাউয়ালীগ.,1
রুকু দিবে কে বাবা,0
বোকাচোদা ,1
সাইকো,0
ফকিন্নির বাচ্চারা,1
চোরের দল ভাগাভাগিতে ব্যাস্ত,1
কুত্তার বাচ্চাকে যথাযথ শাস্তির আওতায় আনতে হবে ,1
এ শহরে বোঝার মানুষের থেকে ভুল বোঝার মানুষ বেশি,0
এটা তোর বোন হবে হালার ঘরের হালা,1
আমার অনেক দেখার ইচ্ছা ছিল ওই জায়গাটি কিন্তু যেতে পারি নাই আপনি দেখাচ্ছেন খুব ভালো লাগলো ধন্যবাদ ভাই,0
"সমাজ আজ কোথায় চলে গেলো, আস্তাগফিরোল্লা",0
মাশা আল্লাহ ছোট বোন টারে অনেক সুন্দর লাগতেছে,0
কাউয়া কাদের ,1
"সুদন ভাইকে আগে ভালো লাগতো এখন কারো পোষা কুকুর হয়ে গেলো,",1
আফার কাছে চলে যান এই লুকে।,0
একে সবাই মিলে বয়কট করুন হাসিনার পা চাটা গোলাম,1
ফালতু নিউজ ছাড়া আর কোন নিউজ পাননা,1
"তোমারে রিপেয়ারিং করার জন্য টাকা দিবে, আর তুমি সুস্থ হয়ে এসে আবার রেপিং শুরু করো, নষ্টামি শুরু করবা পাবলিক এত বোকা না।",1
চোরের পোলা চোর,1
এসব বালের নিউজ বার বার পোস্ট করার কি দরকার ভোদাই,1
এই গান যত শুনি ততই মুগ্ধ হই। আবারো প্রেমে পরে গেলাম গান টার এবং আপনার ভয়েস এর। ভালোবাসা,0
সুন্দর ফানি ভিডিও,0
দুইটাই নষ্ট দুইটাই লোভী। নাটক বন্ধ কর বন্ধ করে ভালো হ,1
বাটপার এগ্রো ফার্ম ,1
"ভাগ্গিশ জীবনে এমন ৪-৫ জন বন্ধু আছে নাহলে জীবন তুচ্ছ। বন্ধু আমার যখন পা ভাংছিল মনে তোর, তোরা সবাই মিলে কি করছিলি সেই দিন গুলো এখনো মনে পরে খুব মিস করি তোদের ",0
কুলাঙ্গার এর ছেলে এর চাইতে আর ভালো কি হতে পারে এ আরেক কুলাঙ্গার,1
"জায়েদ পরে তনিরে ডাকবো তনি ও যাইবো,",0
একটা ডাইনির মতোন ,1
এসব কুত্তার লীগ কোথায় আসে,1
মায়ের হাসিটা অসাধারণ,0
তুমি কত জন এর বাড়া নিয়েছো রমনী,0
ভাই সেই দুধ,0
ওতো গাঁজা খোর ওতো কথাই ঠিক মতোন বলতে পারেনা,0
ভীষণ ভালো লাগলো দোয়া রইলো ভাইজান ,0
ছি! এই অসভ্য গুলার বিচার হওয়া দরকার। ,1
পাপন দাদা আজকে শুকনা খাইসে ,0
ভাইরে এতো আলেম গিরি আর করিস না তদের উপর আল্লাহ লায়ানত ,0
তোর ঘরে চাউল আসেনি খানকির পোলা ভালো হয়ে যা ,1
সাকিব এবং সালমান দুইজন বেয়াদব। বয়কট দুইজন সাকিব এবং সালমান।,1
গেলে পেটে বাচ্চা দিয়ে দিত শাকিব লুচ্চা,1
